2026-01-17 03:55:17,550 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 03:55:19,142 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 03:55:19,722 - INFO - Phone migrated to 4
2026-01-17 03:55:19,830 - INFO - Reconnecting to new data center 4
2026-01-17 03:55:19,955 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 03:55:19,957 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 03:55:19,958 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2026-01-17 03:55:21,835 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2026-01-17 03:55:58,499 - INFO - Starting scrape for @lobelia4cosmetics...
2026-01-17 03:55:58,500 - INFO - Starting scrape for @tikvahpharma...
2026-01-17 03:55:58,501 - INFO - Starting scrape for @CheMed123...
2026-01-17 03:57:07,827 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:08,352 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:09,703 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:09,936 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:10,425 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:11,174 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:12,897 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:12,990 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:14,077 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:14,084 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:14,544 - INFO - Successfully scraped 50 messages from @lobelia4cosmetics
2026-01-17 03:57:15,178 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:15,900 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:16,607 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:18,238 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:19,069 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:19,950 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:20,679 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:21,731 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:23,042 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:23,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:24,546 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:25,344 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:26,030 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:27,175 - INFO - Successfully scraped 50 messages from @CheMed123
